Parent Tier Code,Tier Type Title,Tier Code,Tier Title,Subtitle,Description,Subject,Editions,Levels,Visibility,Locales,Curriculum Tree Thumbnail,Color Code,Sort Order,Header Image Src,Created By,Created Date,Last Updated By,Last Updated Date
CO_M01,Topic,CO_M01_T00,Student Module Resources,,"Students recognize and identify the key characteristics of different function families. They write recursive and explicit formulas for arithmetic and geometric sequences. Students analyze patterns of data, formalize their understanding of lines of best fit, and consider whether a model is a good fit.",,,,,,,,,,,,,
CO_M01_T00,Learning Object,71cb8c11c1df3c73420c452f30c0f409cc8ef95c,,,,,,,,,,,,,,,,
CO_M01,Topic,CO_M01_T01,Module Planning Resources,,"Students recognize and identify the key characteristics of different function families. They write recursive and explicit formulas for arithmetic and geometric sequences. Students analyze patterns of data, formalize their understanding of lines of best fit, and consider whether a model is a good fit.",,,,,,,,,,,,,
CO_M01_T01,Learning Object,f5865ec79c15eaf8475f1c65acf28b66992ade4e,,,,,,,,,,,,,,,,
CO_M01_T01,Learning Object,c8bff31e61e9bb92ed54978a5c9fb946e088a2bc,,,,,,,,,,,,,,,,
CO_M01,Topic,CO_M01_T02,Module Assessments,,"Students recognize and identify the key characteristics of different function families. They write recursive and explicit formulas for arithmetic and geometric sequences. Students analyze patterns of data, formalize their understanding of lines of best fit, and consider whether a model is a good fit.",,,,,,,,,,,,,
CO_M01_T02,Learning Object,b65b928e88a81551a884344792ff30776045d03c,,,,,,,,,,,,,,,,
CO_M01_T02,Learning Object,b89ad05afa09caf7954736e9a3a0530f10586b53,,,,,,,,,,,,,,,,
CO_M01,Topic,CO_M01_T03,Module Assessments with Answers,,"Students recognize and identify the key characteristics of different function families. They write recursive and explicit formulas for arithmetic and geometric sequences. Students analyze patterns of data, formalize their understanding of lines of best fit, and consider whether a model is a good fit.",,,,,,,,,,,,,
CO_M01_T03,Learning Object,c74b19b44ba98e59b5411f8d831a2263a93705b8,,,,,,,,,,,,,,,,
CO_M01_T03,Learning Object,4f67eece42e37b08ebf8b8f2ffcc7774485344d2,,,,,,,,,,,,,,,,
CO_M01,Topic,CO_M01_T04,Topic 1: Quantities and Relationships,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L00,Topic Planning Resources,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04_L00,Learning Object,12ff427f4c512c3ee0f361e5eff6cfb00ad21bfd,,,,,,,,,,,,,,,,
CO_M01_T04_L00,Learning Object,e847d7a3590818249e01e4445e5fd9b7232dc54a,,,,,,,,,,,,,,,,
CO_M01_T04_L00,Learning Object,5c911f73990b92f59946d399fb8f02456961d83f,,,,,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L01,Topic Assessments,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04_L01,Sub_Section,CO_M01_T04_L01_SS00,Progress-Monitoring Assessments,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04_L01_SS00,Learning Object,4112293d9666a8b02c0e260fd060cc6b55346671,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS00,Learning Object,8c9f66f19267a6548efcf515c36f48795b3e817e,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS00,Learning Object,f88d6bb23be37d4ef59aa55b337d81aa25f63835,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS00,Learning Object,ea671cc0014c65497cb9f0643c3234738bbdc3f6,,,,,,,,,,,,,,,,
CO_M01_T04_L01,Sub_Section,CO_M01_T04_L01_SS01,Summative Assessments,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,e3e471053a60c73407281fabae79422a270846e6,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,83330bcf6ab0b52fdcf973d44f1863a5116dffff,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,982866b2c214f4e98e9a8f6d44ec6bd012354b80,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,5f2d2aed186261e5b991a97c6b4e280b6aa12bd8,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,82fb3745c32fc48b61c40b528e2d4b2540f8a715,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,19400a8e066a4a217cdffdf092d62887c006740a,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS01,Learning Object,a16c2d9fbe8e82490556af31600e516cd620f221,,,,,,,,,,,,,,,,
CO_M01_T04_L01,Sub_Section,CO_M01_T04_L01_SS02,Topic Assessments with Answers,,"Students begin the course by analyzing real-world situations. These situations move beyond the linear relationships familiar from middle school to include various nonlinear functions. Students connect the scenarios to corresponding graphs. They examine the graphical behavior of different function types by exploring a wide variety of graphs. Students search for patterns in the graphs’ shape and structure and then sort them according to defined characteristics.

Students review the definitions of function, domain, and range. Building on their knowledge from Grade 8, they formalize their representations of functions by writing equations in function notation. They use graphical behavior and the structure of the corresponding equations to classify each function according to its function family. The intent of this topic is to introduce these new functions, providing an overview but not a deep understanding at this point.

At the end of Quantities and Relationships, students create a graphic organizer with the equation representation and graphical behavior of each function family studied in this course: linear, exponential, quadratic, linear absolute value, and linear piecewise functions.",,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,1a25eb09db5d36cb41effe39a330b2cc7a074ccf,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,de14e735b074b16815c2b8918013ebaadc5b4916,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,aecc6da32ff52385d62044b4c4aadb86a2c5eeaa,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,cc56c4aa0cefbeeef529860fda650f1dd41f371b,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,23486a968b89c2f889bd3b45caad286e120191b7,,,,,,,,,,,,,,,,
CO_M01_T04_L01_SS02,Learning Object,feab82e4e25a81de6bd2888d8298ec149aa92c8d,,,,,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L02,Lesson 1: A Picture is Worth a Thousand Words,Understanding Quantities and Their Relationships,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS00,Student Lesson Resources,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS00,Learning Object,98f70fa89f51bb7fd96a748604025fe204ea9c79,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS00,Learning Object,44bded7bbcea369e8e10035699c4f8259676e175,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS00,Learning Object,536187748058bcc82d9ad9907b8cc2bf69904a97,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS00,Learning Object,ae6e25703043ef80c49f558908421a5e5bdc89be,,,,,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS01,Lesson Planning Resources,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS01,Learning Object,de2caa3c0a5c52c8862de5d6d1d0833be5385a74,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS01,Learning Object,94efc8997edbe0f0a0f31405e005c698f850defd,,,,,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS02,MATHia Adaptive Problem-Solving,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS02,Learning Object,3add5ff66d3f01c2e939879a146d02434dc790ba,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS02,Learning Object,da60b26588cedbde430f15ca4ddae5ca2e96676c,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS02,Learning Object,48c275427c559b390014c2773885cb3db63d321c,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS02,Learning Object,7ad811674f56a2042967656872c6c50ff3e8091c,,,,,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS03,MATHstream Interactive Videos,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS03,Learning Object,55f985313c062d0adc174c106aebe8998b95855a,,,,,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS04,Skills Practice,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS04,Learning Object,41e7e3fe98c63783f85c85e3ada315e7fcfc4ac3,,,,,,,,,,,,,,,,
CO_M01_T04_L02_SS04,Learning Object,6d861223add80a0a2ae26f298bae9d70c603ef6c,,,,,,,,,,,,,,,,
CO_M01_T04_L02,Sub_Section,CO_M01_T04_L02_SS05,Lesson Resources with Answers,,"Students identify the independent and dependent quantities in given contexts. They match graphs to the scenarios they model. Students then compare and contrast the graphs’ characteristics, noticing that graphs are lines, connected line segments, or curves that increase, decrease, or both increase and decrease. They write a scenario and sketch a graph for a given situation.",,,,,,,,,,,,,
CO_M01_T04_L02_SS05,Learning Object,0b2565dd9dbe7f259e6cbb95e326c396564dae12,,,,,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L03,Lesson 2: A Sort of Sorts,Analyzing and Sorting Graphs,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03,Sub_Section,CO_M01_T04_L03_SS00,Student Lesson Resources,,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03_SS00,Learning Object,867b39596907b216e397686dc310e381cdcfa3d7,,,,,,,,,,,,,,,,
CO_M01_T04_L03_SS00,Learning Object,e9bd01a0da80cfdae1b6adf211ea6995c8fed729,,,,,,,,,,,,,,,,
CO_M01_T04_L03_SS00,Learning Object,c69f71278673f5ea956cfc8dd2542b78a30e3ed0,,,,,,,,,,,,,,,,
CO_M01_T04_L03_SS00,Learning Object,8a71f555993b3020eebbe295e20abe3b4aa773d3,,,,,,,,,,,,,,,,
CO_M01_T04_L03,Sub_Section,CO_M01_T04_L03_SS01,Lesson Planning Resources,,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03_SS01,Learning Object,f4dba8156ac3432c6bd6530251379a6db9b44ad5,,,,,,,,,,,,,,,,
CO_M01_T04_L03_SS01,Learning Object,619b271e0d8f55527a0012134c5232b53f76c5bb,,,,,,,,,,,,,,,,
CO_M01_T04_L03,Sub_Section,CO_M01_T04_L03_SS02,MATHstream Interactive Videos,,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03_SS02,Learning Object,f8594bbbd883272cb138055bf84aed75d9d11dd2,,,,,,,,,,,,,,,,
CO_M01_T04_L03,Sub_Section,CO_M01_T04_L03_SS03,Skills Practice,,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03_SS03,Learning Object,dcddfc50eac34c7cc76588fed2bf241626eb1881,,,,,,,,,,,,,,,,
CO_M01_T04_L03_SS03,Learning Object,dad04a903abe550dca184c4ba46220ac575b993f,,,,,,,,,,,,,,,,
CO_M01_T04_L03,Sub_Section,CO_M01_T04_L03_SS04,Lesson Resources with Answers,,"Students sort graphs into groups based on their own rationale and label each group according to its unique characteristics. They reason why selected graphs are in the same group; they consider discrete graphs, graphs with vertical symmetry, and graphs that do not represent functions. Students compare their groupings to those of their classmates to generate a list of graphical behaviors.",,,,,,,,,,,,,
CO_M01_T04_L03_SS04,Learning Object,3214fb65b2dce347f6b90be963245f96ef38d34e,,,,,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L04,Lesson 3: F of X,Recognizing Functions and Function Families,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS00,Student Lesson Resources,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,7d96bc7afd262633cefaf0bb43a86606b56a4187,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,beae1746489520cce00dbcc575e315f9d0bdfd36,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,07fe145a095af8c2c8ad3cd39ef8b8635d621afc,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,324660949eda573c2506a1591c535aa7c20f822c,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,edcd8979016fb8af51a00f9bc8878fece285b10b,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS00,Learning Object,4c459facea187d35ce7c612d3107c9ec02109416,,,,,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS01,Lesson Planning Resources,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS01,Learning Object,b8fccbf31c122d64a5fe725bd30406172635384c,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS01,Learning Object,54a7d8584e125c17ad6d85bf71d88d54cfd68898,,,,,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS02,MATHia Adaptive Problem-Solving,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,0305422d468ca2caeb7c489397db9dd5ca867c30,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,65e5c28be0250cfd0d15539720bb0c40baa8d2c6,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,97ca90647e29f3f7e57d0dbb42fa15aff8b9e104,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,f33cde0d57c5ebe98339563673e529f1e04a35ac,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,695524615f02c6900b06f61410694fae337859ef,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS02,Learning Object,5bb4b2482d71d946f2f19b64a5b15b4ca27c4957,,,,,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS03,MATHstream Interactive Videos,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS03,Learning Object,62277da5027922e922409383782f3bb141380940,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS03,Learning Object,1c85b6fcb93e4f807b5fc5f1116ca1dddac214bd,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS03,Learning Object,d237513c05e6dd8510ae48eb0f64cc995ce83fe3,,,,,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS04,Skills Practice,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS04,Learning Object,b43419c3ad35460413e190ef3e9a3eddf47cb61b,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS04,Learning Object,12484241e2d9971c4975598fc7f08f280493bf0d,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS04,Learning Object,ca73a495728e0c0e70f87805eb4b1027e7a60ed2,,,,,,,,,,,,,,,,
CO_M01_T04_L04_SS04,Learning Object,4081ff1ac622d09714615fae376ada7e01f6c2e1,,,,,,,,,,,,,,,,
CO_M01_T04_L04,Sub_Section,CO_M01_T04_L04_SS05,Lesson Resources with Answers,,"Students determine whether relations are functions. They identify increasing, decreasing, or constant graphs as linear or exponential functions, graphs with an absolute maximum or minimum as quadratic or linear absolute value functions, and graphs with equation changes for different domain parts as linear piecewise functions. They use technology to match each graph with its equation.",,,,,,,,,,,,,
CO_M01_T04_L04_SS05,Learning Object,2ee3d4324f7f694783c1bdc42908a2cee178a38a,,,,,,,,,,,,,,,,
CO_M01_T04,Lesson,CO_M01_T04_L05,"Lesson 4: Function Families for 200, Alex?",Recognizing Functions by Characteristics,"Students determine whether a graph’s characteristics apply to the linear, exponential, quadratic, linear absolute value, or linear piecewise function family. They identify the function family, its domain, and the graph’s behavior for the matched scenarios and graphs from the first lesson. Students write an equation based on a function and its characteristics and use technology to sketch its graph.",,,,,,,,,,,,,
CO_M01_T04_L05,Sub_Section,CO_M01_T04_L05_SS00,Student Lesson Resources,,"Students determine whether a graph’s characteristics apply to the linear, exponential, quadratic, linear absolute value, or linear piecewise function family. They identify the function family, its domain, and the graph’s behavior for the matched scenarios and graphs from the first lesson. Students write an equation based on a function and its characteristics and use technology to sketch its graph.",,,,,,,,,,,,,
CO_M01_T04_L05_SS00,Learning Object,f9064c5651aba2fc6ca022a416b973cb07571cad,,,,,,,,,,,,,,,,
CO_M01_T04_L05_SS00,Learning Object,660e46ca557b59338d77ed3a58e8384ca75bae0b,,,,,,,,,,,,,,,,
CO_M01_T04_L05_SS00,Learning Object,b7e924f3c3d0ac4669d92e9d147a947065cb1f56,,,,,,,,,,,,,,,,
CO_M01_T04_L05_SS00,Learning Object,ce6010fd3ea183c050293312afed84b9bbfc1f97,,,,,,,,,,,,,,,,
CO_M01_T04_L05_SS00,Learning Object,f80051da2cc8b0566e63a43e7688159dc1a2b8f7,,,,,,,,,,,,,,,,
